author,authordescription,authorfavouritecount,authorfollowercount,authorfriendcount,authorid,authorimageurl,authorlang,authorlocation,authorname,authortimezone,authorurl,body,deviceinfo,docid,doclatitude,doclongitude,isretweet,referenceauthor,referenceauthorid,publisheddatetime,publisheddatetimestr,tags,listoflinks,mentionedusernames,mentionedusers,retweetcount
IamFridayPoster,"Friday Poster Friday Poster Channel Is All About #Entertainment.. We Bring all the latest Updates on #Films, #UnknownFacts, #Education, #Politics, etc.",143,276,209,7.6832911E17,http://pbs.twimg.com/profile_images/768332793931706368/5XSdpb7k_normal.jpg,en,"Hyderabad, India",Fridayposter,,https://t.co/e1zJ1Ig8U4,"https://t.co/MR9HWRB3Cp

#NatakamMovie Hero #AshishGandhi Sensational Comments On #ArjunReddy and #Rx100 Movies… https://t.co/dCTui9oLfG","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.039429E18,,,0,,,1852273359,"11 September, 2018 8:22:39 AM GMT",NatakamMovie;AshishGandhi;ArjunReddy;Rx100,https://yt2.pics.ee/AFWKH;https://twitter.com/i/web/status/1039428996310528001,,,0
AlluKafc,,1,2,81,1.0320835E18,http://pbs.twimg.com/profile_images/1032084536128155651/QtwZgebU_normal.jpg,en,,AntammaAlluKanaKafc,,,"RT @TheDeverakonda: 1 year! 

Until next time me and @imvangasandeep meet, you'll have to make do with this. #ArjunReddy

P.S. This was the…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.039421E18,,,1,,,1852271441,"11 September, 2018 7:50:41 AM GMT",ArjunReddy,,Vijay Deverakonda;Sandeep Reddy Vanga,TheDeverakonda;imvangasandeep,3204
VijayRowdiesKL,"Hello Rowdy Boys & Girls ?
Welcome To The First @TheDeverakonda Fan Page From Kerala !! ?",2055,175,5,1.0253023E18,http://pbs.twimg.com/profile_images/1036594953252732928/u5e_Fm8E_normal.jpg,en,God's Own Country,Vijay Deverakonda FC Kerala,,,"RT @PyckerKollywood: #NOTA: We Haven’t Tried To Safely Play With @TheDeverakonda #ArjunReddy Image, Says Anand Shankar

https://t.co/mtGyzZ…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0394102E18,,,1,,,1852268874,"11 September, 2018 7:07:54 AM GMT",NOTA;ArjunReddy,,Pycker Kollywood;Vijay Deverakonda,PyckerKollywood;TheDeverakonda,1
YounusK83164606,"I'm Just a ?Boy, Standing In Front Of the World, Asking You to Follow Me",136,2,47,1.0333023E18,http://pbs.twimg.com/profile_images/1033306862274338817/40_i_1SM_normal.jpg,en,India,#Younus 45Khan,,,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0394076E18,,,1,,,1852268251,"11 September, 2018 6:57:31 AM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
PyckerKollywood,"Pycker gives you the latest news and happenings in Kollywood which includes trailers, teasers, trending reviews, interviews, audio launches, video & audio songs",997,6038,746,2558567718,http://pbs.twimg.com/profile_images/740807294213074944/LJW5Exiy_normal.jpg,en,India,Pycker Kollywood,,https://t.co/HG6UK40F8Y,"#NOTA: We Haven’t Tried To Safely Play With @TheDeverakonda #ArjunReddy Image, Says Anand Shankar

https://t.co/mtGyzZxa7y","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1.0393989E18,,,0,,,1852266195,"11 September, 2018 6:23:15 AM GMT",NOTA;ArjunReddy,https://pycker.com/news/nota-we-havent-tried-to-safely-play-with-vijays-arjun-reddy-image-says-anand-shankar/156773452709174,Vijay Deverakonda,TheDeverakonda,1
saleems26885850,hard of allu Arjun fan,590,7,112,7.6620738E17,http://pbs.twimg.com/profile_images/1029416856312901632/87ilFl5G_normal.jpg,en,India,saleemshaik,,,"RT @VjayDevarakonda: My all time fav scene.. 
Retweet --> if this is your fav also
#Arjunreddy #VijayDevarakonda #Vijay #NOTA https://t.co/…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393521E18,,,1,,,1852255019,"11 September, 2018 3:16:59 AM GMT",Arjunreddy;VijayDevarakonda;Vijay;NOTA,,Vijay Deverakonda,VjayDevarakonda,45
Krishna17247375,"Die hard #STR & #AJITH fan
Director My roll model in #manirathanm & #gauthamvasudevmenon
music addict in #ARRaguman &  #U1shankar",438,4,7,1.032109E18,http://pbs.twimg.com/profile_images/1036205231984467968/Ra8ys0qE_normal.jpg,en,"Tiruchirapalli, India",Ajith Krishnan AK,,,"RT @sidhuwrites: A glimpse of #100PercentKadhal is here, https://t.co/PVK44fwklO @gvprakash sports a new avatar along with the #ArjunReddy…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393494E18,,,1,,,1852254388,"11 September, 2018 3:06:28 AM GMT",100PercentKadhal;ArjunReddy,https://youtu.be/rcquqy8DgSY,Sidhu;G.V.Prakash Kumar,sidhuwrites;gvprakash,4
thamarai2311,"$h@n@t!c ?  Dream:wanna meet him once in my life ? Novemberian ?
?feb 4 ? march 2 ??",18688,431,338,4812981033,http://pbs.twimg.com/profile_images/871599677669429248/Xdb7nE8L_normal.jpg,en,india,thAMarai selvi,,,"RT @EntDC: .@shahidkapoor's dedication towards work is so praiseworthy!

#ZainKapoor #MiraKapoor #mishakapoor #ShahidKapoor #BattiGulMeterC…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393464E18,,,1,,,1852253673,"11 September, 2018 2:54:33 AM GMT",ZainKapoor;MiraKapoor;mishakapoor;ShahidKapoor,,Deccan Chronicle - Entertainment;Shahid Kapoor,EntDC;shahidkapoor,15
VijayRowdies,"Follow for latest updates of Rowdy Vijay Devarakonda || Rowdies!!  Follow us ||

????",132,4,9,9.5680968E17,http://pbs.twimg.com/profile_images/1037621706238521345/8S6558yY_normal.jpg,en,"Andhra Pradesh, India",Vijay Rowdies,,https://t.co/Xj23nCrev0,RT @SagarJadav: @imvangasandeep Thank you sir for this masterpiece and I hope the remake with @shahidkapoor will turn out to be as awesome…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393252E18,,,1,,,1852248610,"11 September, 2018 1:30:10 AM GMT",,,ShahidK's Crazy Boy©;Sandeep Reddy Vanga;Shahid Kapoor,SagarJadav;imvangasandeep;shahidkapoor,6
VijayRowdies,"Follow for latest updates of Rowdy Vijay Devarakonda || Rowdies!!  Follow us ||

????",132,4,9,9.5680968E17,http://pbs.twimg.com/profile_images/1037621706238521345/8S6558yY_normal.jpg,en,"Andhra Pradesh, India",Vijay Rowdies,,https://t.co/Xj23nCrev0,RT @SagarJadav: I watched #ArjunReddy last night and I’m completely blown away. Not a single dull moment in the film. @TheDeverakonda is a…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0393252E18,,,1,,,1852248606,"11 September, 2018 1:30:06 AM GMT",ArjunReddy,,ShahidK's Crazy Boy©;Vijay Deverakonda,SagarJadav;TheDeverakonda,26
